timestamp,event
1.4,WEATHER_EVENT WEATHER EVENT ENDED
31.4,WEATHER_EVENT WEATHER EVENT STARTED
62.4,WEATHER_EVENT WEATHER EVENT ENDED
92.4,WEATHER_EVENT WEATHER EVENT STARTED
122.8,WEATHER_EVENT WEATHER EVENT ENDED
152.8,WEATHER_EVENT WEATHER EVENT STARTED
182.8,WEATHER_EVENT WEATHER EVENT ENDED
212.8,WEATHER_EVENT WEATHER EVENT STARTED
242.8,WEATHER_EVENT WEATHER EVENT ENDED
272.8,WEATHER_EVENT WEATHER EVENT STARTED
302.7,WEATHER_EVENT WEATHER EVENT ENDED
332.7,WEATHER_EVENT WEATHER EVENT STARTED
362.7,WEATHER_EVENT WEATHER EVENT ENDED
392.7,WEATHER_EVENT WEATHER EVENT STARTED
422.7,WEATHER_EVENT WEATHER EVENT ENDED
452.7,WEATHER_EVENT WEATHER EVENT STARTED
482.7,WEATHER_EVENT WEATHER EVENT ENDED
512.7,WEATHER_EVENT WEATHER EVENT STARTED
542.7,WEATHER_EVENT WEATHER EVENT ENDED
572.7,WEATHER_EVENT WEATHER EVENT STARTED
602.7,WEATHER_EVENT WEATHER EVENT ENDED
632.7,WEATHER_EVENT WEATHER EVENT STARTED
662.7,WEATHER_EVENT WEATHER EVENT ENDED
692.7,WEATHER_EVENT WEATHER EVENT STARTED
722.7,WEATHER_EVENT WEATHER EVENT ENDED
752.7,WEATHER_EVENT WEATHER EVENT STARTED
782.7,WEATHER_EVENT WEATHER EVENT ENDED
812.7,WEATHER_EVENT WEATHER EVENT STARTED
842.7,WEATHER_EVENT WEATHER EVENT ENDED
872.7,WEATHER_EVENT WEATHER EVENT STARTED
