timestamp,event
1.4,WEATHER_EVENT WEATHER EVENT ENDED
31.4,WEATHER_EVENT WEATHER EVENT STARTED
62.4,WEATHER_EVENT WEATHER EVENT ENDED
92.4,WEATHER_EVENT WEATHER EVENT STARTED
123.0,WEATHER_EVENT WEATHER EVENT ENDED
153.0,WEATHER_EVENT WEATHER EVENT STARTED
183.0,WEATHER_EVENT WEATHER EVENT ENDED
213.0,WEATHER_EVENT WEATHER EVENT STARTED
243.0,WEATHER_EVENT WEATHER EVENT ENDED
273.0,WEATHER_EVENT WEATHER EVENT STARTED
303.0,WEATHER_EVENT WEATHER EVENT ENDED
333.0,WEATHER_EVENT WEATHER EVENT STARTED
363.0,WEATHER_EVENT WEATHER EVENT ENDED
393.0,WEATHER_EVENT WEATHER EVENT STARTED
423.0,WEATHER_EVENT WEATHER EVENT ENDED
453.0,WEATHER_EVENT WEATHER EVENT STARTED
483.0,WEATHER_EVENT WEATHER EVENT ENDED
513.0,WEATHER_EVENT WEATHER EVENT STARTED
543.0,WEATHER_EVENT WEATHER EVENT ENDED
573.0,WEATHER_EVENT WEATHER EVENT STARTED
