timestamp,event
1.4,WEATHER_EVENT WEATHER EVENT ENDED
31.4,WEATHER_EVENT WEATHER EVENT STARTED
62.4,WEATHER_EVENT WEATHER EVENT ENDED
92.4,WEATHER_EVENT WEATHER EVENT STARTED
123.4,WEATHER_EVENT WEATHER EVENT ENDED
153.4,WEATHER_EVENT WEATHER EVENT STARTED
184.5,WEATHER_EVENT WEATHER EVENT ENDED
214.5,WEATHER_EVENT WEATHER EVENT STARTED
245.6,WEATHER_EVENT WEATHER EVENT ENDED
275.6,WEATHER_EVENT WEATHER EVENT STARTED
306.6,WEATHER_EVENT WEATHER EVENT ENDED
336.6,WEATHER_EVENT WEATHER EVENT STARTED
367.7,WEATHER_EVENT WEATHER EVENT ENDED
397.7,WEATHER_EVENT WEATHER EVENT STARTED
428.8,WEATHER_EVENT WEATHER EVENT ENDED
458.8,WEATHER_EVENT WEATHER EVENT STARTED
488.9,WEATHER_EVENT WEATHER EVENT ENDED
518.9,WEATHER_EVENT WEATHER EVENT STARTED
548.9,WEATHER_EVENT WEATHER EVENT ENDED
578.9,WEATHER_EVENT WEATHER EVENT STARTED
